epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,268.394,1.32839,0.72952,1.04332,0.81992,0.66173,0.72623,0.36869,1.65655,0.97675,1.26191,0.0008614,0.0008614,0.0008614
44,273.341,1.29161,0.70861,1.03465,0.78105,0.76957,0.81859,0.39474,1.65571,0.85323,1.20804,0.0008581,0.0008581,0.0008581
45,278.542,1.30295,0.71342,1.03261,0.83202,0.73528,0.81249,0.38566,1.69636,0.88375,1.2412,0.0008548,0.0008548,0.0008548
46,283.541,1.30179,0.71322,1.03773,0.82343,0.76885,0.83454,0.41299,1.6101,0.8191,1.18791,0.0008515,0.0008515,0.0008515
47,288.743,1.29173,0.69742,1.027,0.81224,0.68567,0.77128,0.36208,1.69457,0.94498,1.24319,0.0008482,0.0008482,0.0008482
48,293.949,1.26724,0.67814,1.02827,0.82185,0.71784,0.79178,0.37732,1.66764,0.92993,1.1919,0.0008449,0.0008449,0.0008449
49,299.198,1.2711,0.69267,1.02635,0.82271,0.76435,0.83938,0.41873,1.59969,0.85502,1.16603,0.0008416,0.0008416,0.0008416
50,304.289,1.28106,0.6843,1.02382,0.84694,0.72799,0.8087,0.41453,1.58832,0.84519,1.19561,0.0008383,0.0008383,0.0008383
51,309.579,1.26623,0.68079,1.01192,0.84988,0.77343,0.84309,0.45804,1.51069,0.78794,1.11148,0.000835,0.000835,0.000835
52,314.923,1.24492,0.66758,1.01818,0.83997,0.75185,0.81806,0.41567,1.59155,0.86453,1.14857,0.0008317,0.0008317,0.0008317
53,319.887,1.25506,0.67317,1.02004,0.81948,0.76366,0.83794,0.41281,1.62894,0.89537,1.20164,0.0008284,0.0008284,0.0008284
54,325.091,1.27655,0.6698,1.02344,0.82868,0.76665,0.83433,0.41988,1.59952,0.84877,1.17901,0.0008251,0.0008251,0.0008251
55,330.645,1.24826,0.66081,1.00791,0.85027,0.76715,0.84649,0.43116,1.59139,0.8161,1.16758,0.0008218,0.0008218,0.0008218
56,335.587,1.23052,0.64571,1.0157,0.83919,0.78791,0.84872,0.41324,1.64732,0.78332,1.20187,0.0008185,0.0008185,0.0008185
57,340.815,1.25107,0.65234,1.01437,0.82594,0.75491,0.82454,0.42341,1.55354,0.8084,1.14511,0.0008152,0.0008152,0.0008152
58,345.98,1.22659,0.63994,1.00705,0.82616,0.79122,0.84586,0.42765,1.57423,0.7801,1.16577,0.0008119,0.0008119,0.0008119
59,350.915,1.22901,0.64795,1.00196,0.87827,0.74961,0.8286,0.42271,1.60205,0.79057,1.18541,0.0008086,0.0008086,0.0008086
60,355.937,1.20725,0.63908,1.001,0.85434,0.72704,0.82357,0.42711,1.59185,0.83077,1.1783,0.0008053,0.0008053,0.0008053
61,361.23,1.24044,0.65739,1.00562,0.82516,0.76559,0.83496,0.43331,1.58825,0.79709,1.18397,0.000802,0.000802,0.000802
